sold_price_eur,asking_price_eur,bed_no,bath_no,size,house_type,region,detached,semi_d,terrace,apartment,dublin,cork,galway,dub_inner_ring,dub_outer_ring,urban_south,other
660000,595000,3,1,82,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
227000,225000,3,3,100,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
215000,225000,2,1,68,Apartment,cork,0,0,0,1,0,1,0,0,0,0,0
255000,275000,3,3,111,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
110000,125000,2,2,72,Terrace,dub_outer_ring,0,0,1,0,0,0,0,0,1,0,0
785000,775000,4,4,144,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
750000,795000,5,4,NA,Detached,dub_inner_ring,1,0,0,0,0,0,0,1,0,0,0
483000,495000,3,3,107,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
342500,325000,3,3,94,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
375000,395000,4,2,103,Detached,other,1,0,0,0,0,0,0,0,0,0,1
650000,695000,3,3,148,Semi-D,dub_inner_ring,0,1,0,0,0,0,0,1,0,0,0
420000,410000,3,3,94,Semi-D,dub_inner_ring,0,1,0,0,0,0,0,1,0,0,0
300000,335000,4,2,NA,Detached,dub_outer_ring,1,0,0,0,0,0,0,0,1,0,0
265000,275000,2,2,NA,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
255000,250000,2,2,NA,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
222500,235000,3,1,79,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
170000,200000,3,2,81,Terrace,galway,0,0,1,0,0,0,1,0,0,0,0
430000,375000,4,4,145,Semi-D,urban_south,0,1,0,0,0,0,0,0,0,1,0
395000,395000,4,NA,148,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
381000,325000,2,1,71,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
193000,189000,3,3,NA,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
795000,845000,5,4,228,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
370000,370000,4,2,165,Detached,other,1,0,0,0,0,0,0,0,0,0,1
330000,299000,3,2,124,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
260000,295000,3,2,110,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
160000,172000,2,2,73,Detached,other,1,0,0,0,0,0,0,0,0,0,1
505000,485000,3,2,132,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
495000,525000,5,4,189,Detached,cork,1,0,0,0,0,1,0,0,0,0,0
480000,450000,3,3,NA,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
