sold_price_eur,asking_price_eur,bed_no,bath_no,size,house_type,region,detached,semi_d,terrace,apartment,dublin,cork,galway,dub_inner_ring,dub_outer_ring,urban_south,other
980000,950000,4,2,128,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
596000,595000,3,1,89,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
445000,449000,2,1,NA,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
400000,400000,4,3,205,Detached,other,1,0,0,0,0,0,0,0,0,0,1
285000,190000,3,1,80,Detached,other,1,0,0,0,0,0,0,0,0,0,1
205000,225000,3,1,81,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
110000,135000,2,2,52,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
1562500,1650000,4,5,353,Detached,dub_inner_ring,1,0,0,0,0,0,0,1,0,0,0
149000,160000,2,1,79,Terrace,urban_south,0,0,1,0,0,0,0,0,0,1,0
675000,695000,2,1,84,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
314000,275000,4,3,125,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
267000,250000,4,3,NA,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
232000,235000,3,1,NA,Semi-D,urban_south,0,1,0,0,0,0,0,0,0,1,0
158000,149000,3,1,83,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
140000,150000,3,1,86,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
550000,575000,4,2,102,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
445000,430000,3,3,134,Semi-D,dub_inner_ring,0,1,0,0,0,0,0,1,0,0,0
395000,365000,3,1,92,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
346000,335000,2,2,65,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
328000,280000,2,3,75,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
320000,295000,3,1,90,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
310000,320000,1,1,58,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
300000,285000,3,3,102,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
256000,275000,4,3,155,Detached,other,1,0,0,0,0,0,0,0,0,0,1
242500,245000,4,2,115,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
240000,250000,4,1,84,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
211000,235000,2,1,NA,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
470000,475000,4,3,114,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
435000,470000,4,3,120,Detached,other,1,0,0,0,0,0,0,0,0,0,1
338000,295000,3,1,74,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
290000,300000,4,3,123,Detached,dub_outer_ring,1,0,0,0,0,0,0,0,1,0,0
270000,245000,3,2,88,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
810000,895000,4,1,NA,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
590000,625000,3,2,86,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
575000,575000,4,4,207,Detached,urban_south,1,0,0,0,0,0,0,0,0,1,0
350000,350000,4,2,188,Detached,other,1,0,0,0,0,0,0,0,0,0,1
268000,180000,2,3,66,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
550000,550000,3,2,132,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
510000,580000,4,3,144,Semi-D,galway,0,1,0,0,0,0,1,0,0,0,0
315419,358000,4,3,144,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
258000,225000,2,1,NA,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
1340000,1650000,3,3,288,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
975000,950000,3,1,125,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
820000,825000,4,2,153,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
720000,765000,5,5,270,Detached,galway,1,0,0,0,0,0,1,0,0,0,0
315000,280000,2,2,NA,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
257000,265000,4,1,86,Semi-D,dub_inner_ring,0,1,0,0,0,0,0,1,0,0,0
249000,249000,2,1,57,Apartment,cork,0,0,0,1,0,1,0,0,0,0,0
235000,395000,5,3,412,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
220000,235000,1,1,59,Apartment,galway,0,0,0,1,0,0,1,0,0,0,0
153000,155000,4,2,NA,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
110000,118000,2,1,43,Detached,other,1,0,0,0,0,0,0,0,0,0,1
755000,749950,4,3,NA,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
597500,595000,4,3,178,Detached,galway,1,0,0,0,0,0,1,0,0,0,0
475000,495000,4,1,130,Detached,urban_south,1,0,0,0,0,0,0,0,0,1,0
430000,385000,4,3,122,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
350000,350000,3,3,107,Semi-D,galway,0,1,0,0,0,0,1,0,0,0,0
280000,285000,4,NA,130,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
230000,230000,4,3,NA,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
